id,sector_id,sector_name,msg_timestamp,exec_timestamp,summary,impact
1,0,Unknown,2026-04-05 12:21:22,2026-04-05 12:21:22,"Global Market faces uncertainty due to US-Iran conflict and potential US-Europe alliance breakdown, despite stable US inflation and GDP growth projections.",Negative
2,1,Auto,2026-04-05 12:21:22,2026-04-05 12:21:22,"The auto sector sees mixed results with Jaguar Land Rover's 61% increase in Q4 sales, while Mahindra & Mahindra raises prices and Tesla's 1Q deliveries disappoint.",Negative
3,2,Aviation,2026-04-05 12:21:22,2026-04-05 12:21:22,"The aviation sector faces disruptions due to global jet fuel shortages and geopolitical tensions, with airlines like IndiGo cancelling flights. Recent attacks and restrictions in Italy, Iran, and the UAE are affecting market share and operations.",Negative
4,9,Energy,2026-04-05 12:21:22,2026-04-05 12:21:22,"The Energy sector experienced mixed developments, with REC Limited's director appointment and Vikran Engineering's order receipt being offset by Iranian drone attacks on Kuwait's power and water plants.",Negative
5,11,Financial Services,2026-04-05 12:21:22,2026-04-05 12:21:22,"The Financial Services sector shows growth with L&T Finance reporting increases in retail disbursements and loan book expansion. This indicates a strong performance in the sector. Overall, the sector is experiencing positive trends.",Positive
6,12,FMCG,2026-04-05 12:21:22,2026-04-05 12:21:22,"Avenue Supermarts Limited reported Q4 FY26 standalone revenue, indicating a potential boost in the FMCG sector. This development may contribute to sector growth. Revenue reports are a key indicator of sector performance.",Positive
7,13,Healthcare,2026-04-05 12:21:22,2026-04-05 12:21:22,"The healthcare sector sees expansion with Apollo Hospitals establishing a new multi-speciality hospital and KIMS updating its O&M deal, while also receiving NCLT approval for a composite scheme of arrangement.",Positive
8,15,Defence,2026-04-05 12:21:22,2026-04-05 12:21:22,"A US aircraft was downed in Isfahan province, but the rescue of 2 pilots was successful, potentially escalating geopolitical tensions in the defence sector. This incident may impact defence sector dynamics and investor sentiment. Ongoing developments are being closely monitored.",Negative
9,19,IT,2026-04-05 12:21:22,2026-04-05 12:21:22,"The IT sector has seen recent order wins, including 3i Infotech Ltd's ₹1.63 Cr deal and AAA Technologies Ltd's contract for Application Security Audit & Compliance Services, indicating a positive trend.",Positive
10,21,Metal,2026-04-05 12:21:22,2026-04-05 12:21:22,"The metal sector saw a mixed performance with Sambhv Steel and Vedanta Ltd reporting strong production numbers, but mining work stoppage in abocp mine may affect steel and aluminum production.",Negative
11,23,Oil & Gas,2026-04-05 12:21:22,2026-04-05 12:21:22,"The Oil & Gas sector faces challenges due to rising diesel prices, potential disruptions in the Strait of Hormuz, and a fire at a Bahrain oil depot. These events may lead to shortages and increased costs. Global market stability is at risk.",Negative
12,24,Pharma,2026-04-05 12:21:22,2026-04-05 12:21:22,"The Pharma sector sees a strategic joint venture by Senores Pharmaceuticals in the U.S., indicating potential expansion and growth. This development may enhance the sector's competitiveness and market presence. The move is expected to have a favorable impact on the Global Market.",Positive
13,25,Private Bank,2026-04-05 12:21:22,2026-04-05 12:21:22,"Private Bank sector witnesses significant growth with CSB Bank's total deposits up 20% and HDFC Bank's advances up 12%, driven by robust loan and deposit growth across key players.",Positive
14,27,PSU Bank,2026-04-05 12:21:22,2026-04-05 12:21:22,"PSU Banks, including Bank of India and PNB, reported strong Q4 updates with significant YoY growth in advances and deposits, boosting the sector's performance. The Global Market is likely to be positively affected. PSU Banks' overall growth indicates a promising trend.",Positive
15,28,Railway,2026-04-05 12:21:22,2026-04-05 12:21:22,"The railway sector has seen recent developments with Rail Vikas Nigam Ltd winning an order for a railway electrification project and Indian Railways approving a significant optical fibre cable backbone project, indicating investment in infrastructure.",Positive
16,29,Realty,2026-04-05 12:21:22,2026-04-05 12:21:22,"The Realty sector sees a new township project launch by Prestige Estates Projects Limited, indicating growth and expansion. This launch is expected to boost the sector's performance. The new project is a positive development for the sector.",Positive
17,31,Telecom,2026-04-05 12:21:22,2026-04-05 12:21:22,"The telecom sector may face disruptions due to potential global trade and shipping issues, affecting mobile network operators like Airtel and Jio. This is a result of the Indian LPG tanker Green Asha transiting through the Strait of Hormuz. Global Market volatility is expected.",Negative
